"Datum","EAN","Verbruik","Type","Piek"
"2022-01-01T22:00:00+01:00","871687120061402458","0.891","Elektriciteit","false"
"2022-01-01T23:00:00+01:00","871687120061402458","0.667","Elektriciteit","false"
"2022-01-02T00:00:00+01:00","871687120061402458","0.563","Elektriciteit","false"
"2022-01-02T01:00:00+01:00","871687120061402458","0.389","Elektriciteit","false"
"2022-01-02T02:00:00+01:00","871687120061402458","0.334","Elektriciteit","false"
"2022-01-02T03:00:00+01:00","871687120061402458","0.375","Elektriciteit","false"
"2022-01-02T04:00:00+01:00","871687120061402458","0.34","Elektriciteit","false"
"2022-01-02T05:00:00+01:00","871687120061402458","0.31","Elektriciteit","false"
"2022-01-02T06:00:00+01:00","871687120061402458","0.441","Elektriciteit","false"
"2022-01-02T07:00:00+01:00","871687120061402458","0.293","Elektriciteit","false"
"2022-01-02T08:00:00+01:00","871687120061402458","0.627","Elektriciteit","false"
"2022-01-02T09:00:00+01:00","871687120061402458","0.798","Elektriciteit","false"
"2022-01-02T10:00:00+01:00","871687120061402458","0.484","Elektriciteit","false"
"2022-01-02T11:00:00+01:00","871687120061402458","0.647","Elektriciteit","false"
"2022-01-02T12:00:00+01:00","871687120061402458","0.684","Elektriciteit","false"
"2022-01-02T13:00:00+01:00","871687120061402458","0.684","Elektriciteit","false"
"2022-01-02T14:00:00+01:00","871687120061402458","0.723","Elektriciteit","false"
"2022-01-02T15:00:00+01:00","871687120061402458","1.178","Elektriciteit","false"
"2022-01-02T16:00:00+01:00","871687120061402458","1.587","Elektriciteit","false"
"2022-01-02T17:00:00+01:00","871687120061402458","1.79","Elektriciteit","false"
"2022-01-02T18:00:00+01:00","871687120061402458","0.751","Elektriciteit","false"
"2022-01-02T19:00:00+01:00","871687120061402458","0.679","Elektriciteit","false"
"2022-01-02T20:00:00+01:00","871687120061402458","0.691","Elektriciteit","false"
"2022-01-02T21:00:00+01:00","871687120061402458","0.652","Elektriciteit","false"
"2022-01-02T22:00:00+01:00","871687120061402458","0.567","Elektriciteit","false"
"2022-01-02T23:00:00+01:00","871687120061402458","0.512","Elektriciteit","false"
"2022-01-03T00:00:00+01:00","871687120061402458","0.595","Elektriciteit","false"
"2022-01-03T01:00:00+01:00","871687120061402458","0.377","Elektriciteit","false"
"2022-01-03T02:00:00+01:00","871687120061402458","0.338","Elektriciteit","false"
"2022-01-03T03:00:00+01:00","871687120061402458","0.261","Elektriciteit","false"
"2022-01-03T04:00:00+01:00","871687120061402458","0.297","Elektriciteit","false"
