Vanaf;Tot;Verbruik laag tarief;Verbruik hoog tarief;Teruglevering laag tarief;Teruglevering hoog tarief;Totaal;
2014-05-13 00:00;2014-05-14 00:00;2,78700;1,43000;0,00000;-3,96300;0,25400;
2014-05-14 00:00;2014-05-15 00:00;3,33900;8,71000;0,00000;-4,56600;7,48300;
2014-05-15 00:00;2014-05-16 00:00;3,33000;2,77500;0,00000;-3,76200;2,34300;
2014-05-16 00:00;2014-05-17 00:00;6,18300;1,51400;0,00000;-12,09700;-4,40000;
2014-05-17 00:00;2014-05-18 00:00;5,87800;0,00000;-9,38400;0,00000;-3,50600;
2014-05-18 00:00;2014-05-19 00:00;7,83500;0,00000;-11,14600;0,00000;-3,31100;
2014-05-19 00:00;2014-05-20 00:00;4,10500;4,09700;0,00000;-9,34200;-1,14000;
2014-05-20 00:00;2014-05-21 00:00;5,16700;2,40900;0,00000;-7,53300;0,04300;
2014-05-21 00:00;2014-05-22 00:00;4,37200;6,01300;0,00000;-2,58100;7,80400;
2014-05-22 00:00;2014-05-23 00:00;7,53700;4,09400;0,00000;-9,11200;2,51900;
2014-05-23 00:00;2014-05-24 00:00;5,15700;4,12700;0,00000;-4,82600;4,45800;
2014-05-24 00:00;2014-05-25 00:00;10,68000;0,00000;-5,05300;0,00000;5,62700;
2014-05-25 00:00;2014-05-26 00:00;9,72600;0,00000;-7,67200;0,00000;2,05400;
2014-05-26 00:00;2014-05-27 00:00;5,65600;2,34100;0,00000;-1,96100;6,03600;
2014-05-27 00:00;2014-05-28 00:00;2,90200;2,00300;0,00000;-0,19000;4,71500;
2014-05-28 00:00;2014-05-29 00:00;2,89800;1,22200;0,00000;-0,93400;3,18600;
2014-05-29 00:00;2014-05-30 00:00;4,02100;0,00000;-2,98200;0,00000;1,03900;
2014-05-30 00:00;2014-05-31 00:00;3,73000;0,57500;0,00000;-7,94500;-3,64000;
2014-05-31 00:00;2014-06-01 00:00;12,00100;0,00000;-4,76200;0,00000;7,23900;
2014-06-01 00:00;2014-06-02 00:00;7,16400;0,00000;-5,24900;0,00000;1,91500;
2014-06-02 00:00;2014-06-03 00:00;6,08300;4,80500;0,00000;-6,56800;4,32000;
2014-06-03 00:00;2014-06-04 00:00;3,77300;2,80700;0,00000;-6,78300;-0,20300;
2014-06-04 00:00;2014-06-05 00:00;5,80700;3,83600;0,00000;-3,36000;6,28300;
2014-06-05 00:00;2014-06-06 00:00;3,46600;1,13800;0,00000;-3,99900;0,60500;
2014-06-06 00:00;2014-06-07 00:00;6,19600;4,37000;0,00000;-10,04200;0,52400;
2014-06-07 00:00;2014-06-08 00:00;5,85500;0,00000;-6,11100;0,00000;-0,25600;
2014-06-08 00:00;2014-06-09 00:00;3,45200;0,00000;-9,75400;0,00000;-6,30200;
2014-06-09 00:00;2014-06-10 00:00;6,26500;0,00000;-6,85300;0,00000;-0,58800;
2014-06-10 00:00;2014-06-11 00:00;3,63000;4,07100;0,00000;-8,05400;-0,35300;
2014-06-11 00:00;2014-06-12 00:00;3,64300;1,72900;0,00000;-10,05100;-4,67900;
2014-06-12 00:00;2014-06-13 00:00;2,89400;0,60600;0,00000;-10,04800;-6,54800;
2014-06-13 00:00;2014-06-14 00:00;5,59400;2,84100;0,00000;-9,38400;-0,94900;
2014-06-14 00:00;2014-06-15 00:00;12,10100;0,00000;-2,91500;0,00000;9,18600;
2014-06-15 00:00;2014-06-16 00:00;3,97700;0,00000;-6,87300;0,00000;-2,89600;
2014-06-16 00:00;2014-06-17 00:00;2,97500;1,82000;0,00000;-2,14900;2,64600;
2014-06-17 00:00;2014-06-18 00:00;3,48500;2,51100;0,00000;-4,24200;1,75400;
2014-06-18 00:00;2014-06-19 00:00;3,30300;9,76500;0,00000;-2,63300;10,43500;
2014-06-19 00:00;2014-06-20 00:00;5,46600;1,93900;0,00000;-2,44700;4,95800;
2014-06-20 00:00;2014-06-21 00:00;5,29100;1,84400;0,00000;-3,46500;3,67000;
2014-06-21 00:00;2014-06-22 00:00;6,82000;0,00000;-4,81700;0,00000;2,00300;
2014-06-22 00:00;2014-06-23 00:00;6,79000;0,00000;-6,19100;0,00000;0,59900;
2014-06-23 00:00;2014-06-24 00:00;3,13800;3,08900;0,00000;-7,02400;-0,79700;
2014-06-24 00:00;2014-06-25 00:00;4,42700;3,26800;0,00000;-5,95800;1,73700;
2014-06-25 00:00;2014-06-26 00:00;6,80100;7,72100;0,00000;-6,30400;8,21800;
2014-06-26 00:00;2014-06-27 00:00;4,02700;2,60500;0,00000;-7,42900;-0,79700;
2014-06-27 00:00;2014-06-28 00:00;7,11000;3,31800;0,00000;-4,12000;6,30800;
2014-06-28 00:00;2014-06-29 00:00;10,31800;0,00000;-0,84500;0,00000;9,47300;
2014-06-29 00:00;2014-06-30 00:00;6,38800;0,00000;-4,32200;0,00000;2,06600;
2014-06-30 00:00;2014-07-01 00:00;4,20700;1,90800;0,00000;-6,15400;-0,03900;
2014-07-01 00:00;2014-07-02 00:00;5,53600;5,00900;0,00000;-7,45600;3,08900;
2014-07-02 00:00;2014-07-03 00:00;3,54100;7,20400;0,00000;-9,81000;0,93500;
2014-07-03 00:00;2014-07-04 00:00;3,42900;0,81300;0,00000;-12,31900;-8,07700;
2014-07-04 00:00;2014-07-05 00:00;3,44700;4,16900;0,00000;-5,91800;1,69800;
2014-07-05 00:00;2014-07-06 00:00;6,57500;0,00000;-1,82600;0,00000;4,74900;
2014-07-06 00:00;2014-07-07 00:00;10,86800;0,00000;-2,72900;0,00000;8,13900;
2014-07-07 00:00;2014-07-08 00:00;3,86700;1,34400;0,00000;-8,66400;-3,45300;
2014-07-08 00:00;2014-07-09 00:00;4,79000;4,88800;0,00000;-0,05500;9,62300;
2014-07-09 00:00;2014-07-10 00:00;5,41400;11,72500;0,00000;0,00000;17,13900;
2014-07-10 00:00;2014-07-11 00:00;3,71800;4,15400;0,00000;-6,58600;1,28600;
2014-07-11 00:00;2014-07-12 00:00;4,78100;1,68500;0,00000;-4,17900;2,28700;
2014-07-12 00:00;2014-07-13 00:00;9,22300;0,00000;-1,04300;0,00000;8,18000;
2014-07-13 00:00;2014-07-14 00:00;8,34800;0,00000;-3,81700;0,00000;4,53100;
2014-07-14 00:00;2014-07-15 00:00;3,20400;3,08800;0,00000;-6,28600;0,00600;
2014-07-15 00:00;2014-07-16 00:00;3,25800;1,41900;0,00000;-2,32000;2,35700;
2014-07-16 00:00;2014-07-17 00:00;5,14300;6,58700;0,00000;-8,31800;3,41200;
2014-07-17 00:00;2014-07-18 00:00;4,40100;2,21900;0,00000;-8,53900;-1,91900;
2014-07-18 00:00;2014-07-19 00:00;3,87200;0,87300;0,00000;-10,87100;-6,12600;
2014-07-19 00:00;2014-07-20 00:00;7,06900;0,00000;-7,68100;0,00000;-0,61200;
2014-07-20 00:00;2014-07-21 00:00;12,05000;0,00000;-3,14100;0,00000;8,90900;
2014-07-21 00:00;2014-07-22 00:00;4,13800;6,90600;0,00000;-1,40800;9,63600;
2014-07-22 00:00;2014-07-23 00:00;5,16900;3,49600;0,00000;-10,84300;-2,17800;
2014-07-23 00:00;2014-07-24 00:00;4,58300;6,66000;0,00000;-8,59100;2,65200;
2014-07-24 00:00;2014-07-25 00:00;5,40000;1,02900;0,00000;-10,57600;-4,14700;
2014-07-25 00:00;2014-07-26 00:00;4,10400;4,45000;0,00000;-1,42600;7,12800;
2014-07-26 00:00;2014-07-27 00:00;12,71000;0,00000;-4,52600;0,00000;8,18400;
2014-07-27 00:00;2014-07-28 00:00;4,54600;0,00000;-7,11400;0,00000;-2,56800;
2014-07-28 00:00;2014-07-29 00:00;3,52900;1,05400;0,00000;-4,06000;0,52300;
2014-07-29 00:00;2014-07-30 00:00;3,07800;1,36100;0,00000;-6,06000;-1,62100;
2014-07-30 00:00;2014-07-31 00:00;3,06400;0,76800;0,00000;-5,88200;-2,05000;
2014-07-31 00:00;2014-08-01 00:00;3,08300;0,91600;0,00000;-10,85800;-6,85900;
2014-08-01 00:00;2014-08-02 00:00;3,11200;0,81400;0,00000;-7,48500;-3,55900;
2014-08-02 00:00;2014-08-03 00:00;4,45600;0,00000;-4,00700;0,00000;0,44900;
2014-08-03 00:00;2014-08-04 00:00;5,11600;0,00000;-7,18800;0,00000;-2,07200;
2014-08-04 00:00;2014-08-05 00:00;3,72700;1,18200;0,00000;-7,26300;-2,35400;
