Date/Time,Energy Delivered (Wh)
01/15/2023,"7,970"
01/16/2023,"3,611"
01/17/2023,"13,321"
01/18/2023,"14,046"
01/19/2023,"11,262"
01/20/2023,"4,200"
01/21/2023,"16,243"
01/22/2023,"1,470"
01/23/2023,"2,654"
01/24/2023,"1,170"
01/25/2023,"1,252"
01/26/2023,"8,803"
01/27/2023,"3,061"
01/28/2023,"15,594"
01/29/2023,"1,887"
01/30/2023,"18,122"
01/31/2023,"7,169"
02/01/2023,"9,399"
02/02/2023,"8,913"
02/03/2023,"3,992"
02/04/2023,"4,440"
02/05/2023,"11,631"
02/06/2023,"16,665"
02/07/2023,"18,089"
02/08/2023,"21,922"
02/09/2023,"7,757"
02/10/2023,"11,690"
02/11/2023,"2,286"
02/12/2023,"6,951"
02/13/2023,"21,216"
02/14/2023,"20,584"
02/15/2023,"15,289"
02/16/2023,"5,691"
02/17/2023,"3,715"
02/18/2023,"4,539"
02/19/2023,"9,182"
02/20/2023,"3,785"
02/21/2023,"2,618"
02/22/2023,"3,914"
02/23/2023,"10,931"
02/24/2023,"4,433"
02/25/2023,"18,644"
02/26/2023,"25,969"
02/27/2023,"19,932"
02/28/2023,"21,035"
03/01/2023,"27,014"
03/02/2023,"26,803"
03/03/2023,"14,274"
03/04/2023,"10,792"
03/05/2023,"4,938"
03/06/2023,"11,791"
03/07/2023,"4,202"
03/08/2023,"3,969"
03/09/2023,"3,569"
03/10/2023,"4,016"
03/11/2023,"22,610"
03/12/2023,"13,467"
03/13/2023,"22,207"
03/14/2023,"10,676"
03/15/2023,"23,811"
03/16/2023,"21,950"
03/17/2023,"12,043"
03/18/2023,"14,810"
03/19/2023,"10,852"
03/20/2023,"5,291"
03/21/2023,"9,332"
03/22/2023,"4,155"
03/23/2023,"20,275"
03/24/2023,"15,524"
03/25/2023,"21,254"
03/26/2023,"7,015"
03/27/2023,"24,554"
03/28/2023,"8,722"
03/29/2023,"9,400"
03/30/2023,"20,380"
03/31/2023,"5,690"
04/01/2023,"5,029"
04/02/2023,"20,787"
04/03/2023,"32,975"
04/04/2023,"32,597"
04/05/2023,"29,730"
04/06/2023,"3,834"
04/07/2023,"8,742"
04/08/2023,"21,516"
04/09/2023,"24,817"
04/10/2023,"6,980"
04/11/2023,"24,527"
04/12/2023,"25,311"
04/13/2023,"30,961"
04/14/2023,"23,873"
04/15/2023,"34,712"
04/16/2023,"9,286"
04/17/2023,"22,289"
04/18/2023,"23,688"
04/19/2023,"33,960"
04/20/2023,"10,979"
04/21/2023,"29,699"
04/22/2023,"11,801"
04/23/2023,"10,464"
04/24/2023,"13,808"
04/25/2023,"27,465"
04/26/2023,"24,834"
04/27/2023,"23,226"
04/28/2023,"11,538"
04/29/2023,"27,756"
04/30/2023,"27,393"
05/01/2023,"27,669"
05/02/2023,"35,877"
05/03/2023,"32,856"
05/04/2023,"27,460"
05/05/2023,"15,966"
05/06/2023,"14,200"
05/07/2023,"11,986"
05/08/2023,"10,480"
05/09/2023,"5,292"
05/10/2023,"12,371"
05/11/2023,"19,952"
05/12/2023,"14,314"
05/13/2023,"34,690"
05/14/2023,"31,552"
05/15/2023,"4,915"
05/16/2023,"31,358"
05/17/2023,"35,742"
05/18/2023,"32,938"
05/19/2023,"32,242"
05/20/2023,"29,042"
05/21/2023,"30,477"
05/22/2023,"22,811"
05/23/2023,"30,321"
05/24/2023,"30,493"
05/25/2023,"23,715"
05/26/2023,"34,901"
05/27/2023,"34,353"
05/28/2023,"32,927"
05/29/2023,"30,704"
05/30/2023,"34,446"
05/31/2023,"34,416"
06/01/2023,"33,308"
06/02/2023,"25,249"
06/03/2023,"34,468"
06/04/2023,"34,201"
06/05/2023,"34,545"
06/06/2023,"35,347"
06/07/2023,"34,067"
06/08/2023,"33,252"
06/09/2023,"32,611"
06/10/2023,"32,256"
06/11/2023,"32,066"
06/12/2023,"33,168"
06/13/2023,"33,380"
06/14/2023,"33,672"
06/15/2023,"31,432"
06/16/2023,"33,192"
06/17/2023,"21,580"
06/18/2023,"18,983"
06/19/2023,"27,618"
06/20/2023,"13,657"
06/21/2023,"32,695"
06/22/2023,"9,626"
06/23/2023,"28,168"
06/24/2023,"33,383"
06/25/2023,"32,803"
06/26/2023,"27,892"
