entity_id,state,last_changed
sensor.electricity_meter_feed_in_tariff_1,5232.52001953125,2023-01-10T21:00:48.000Z
sensor.electricity_meter_feed_in_tariff_1,5232.58984375,2023-01-10T22:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5232.58984375,2023-01-10T23:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5232.85986328125,2023-01-11T06:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5233.18017578125,2023-01-11T07:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5233.77978515625,2023-01-11T08:00:00.000Z
sensor.electricity_meter_feed_in_tariff_1,5234.3701171875,2023-01-11T08:59:44.000Z
sensor.electricity_meter_feed_in_tariff_1,5234.7998046875,2023-01-11T09:59:28.000Z
sensor.electricity_meter_feed_in_tariff_1,5234.81982421875,2023-01-11T10:59:12.000Z
sensor.electricity_meter_feed_in_tariff_1,5234.81982421875,2023-01-11T12:01:04.000Z
sensor.electricity_meter_feed_in_tariff_1,5234.830078125,2023-01-11T13:00:48.000Z
sensor.electricity_meter_feed_in_tariff_1,5236.06005859375,2023-01-11T14:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5237.27001953125,2023-01-11T15:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5238.669921875,2023-01-11T16:00:00.000Z
sensor.electricity_meter_feed_in_tariff_1,5240.6201171875,2023-01-11T16:59:44.000Z
sensor.electricity_meter_feed_in_tariff_1,5241.41015625,2023-01-11T17:59:28.000Z
sensor.electricity_meter_feed_in_tariff_1,5242.22021484375,2023-01-11T18:59:12.000Z
sensor.electricity_meter_feed_in_tariff_1,5243.06982421875,2023-01-11T19:58:56.000Z
sensor.electricity_meter_feed_in_tariff_1,5244.3798828125,2023-01-11T21:00:48.000Z
sensor.electricity_meter_feed_in_tariff_1,5244.4501953125,2023-01-11T22:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5244.4501953125,2023-01-11T23:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5244.72021484375,2023-01-12T06:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5248.93017578125,2023-01-12T07:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5249.2001953125,2023-01-12T08:00:00.000Z
sensor.electricity_meter_feed_in_tariff_1,5249.41015625,2023-01-12T08:59:44.000Z
