sep=,
Version CSV3|Tool WebUI|Linebreaks CR/LF|Delimiter comma

,STP6.0-3AV-40 033,STP6.0-3AV-40 033,STP6.0-3AV-40 033,STP6.0-3AV-40 033,STP6.0-3AV-40 033
,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0
,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX
,Metering.TotWhOut,Metering.GridMs.TotWhOut,Metering.GridMs.AbsWhOut,Metering.GridMs.TotWhIn,Metering.GridMs.AbsWhIn
,Analog,Analog,Analog,Analog,Analog
DD.MM.YYYY hh:mm:ss,[Wh],[Wh],[Wh],[Wh],[Wh]
23.07.2020 00:00:00,3682316,0,NaN,0,NaN
24.07.2020 00:00:00,3708392,0,NaN,0,NaN
25.07.2020 00:00:00,3741180,0,NaN,0,NaN
26.07.2020 00:00:00,3775013,0,NaN,0,NaN
27.07.2020 00:00:00,3809513,0,NaN,0,NaN
28.07.2020 00:00:00,3843160,0,NaN,0,NaN
29.07.2020 00:00:00,3871094,0,NaN,0,NaN
30.07.2020 00:00:00,3883856,0,NaN,0,NaN
31.07.2020 00:00:00,3920479,0,NaN,0,NaN
01.08.2020 00:00:00,3938535,0,NaN,0,NaN
02.08.2020 00:00:00,3957564,0,NaN,0,NaN
03.08.2020 00:00:00,3990279,0,NaN,0,NaN
04.08.2020 00:00:00,4027298,0,NaN,0,NaN
05.08.2020 00:00:00,4065396,0,NaN,0,NaN
06.08.2020 00:00:00,4089817,0,NaN,0,NaN
07.08.2020 00:00:00,4123432,0,NaN,0,NaN
08.08.2020 00:00:00,4127807,0,NaN,0,NaN
09.08.2020 00:00:00,4161160,0,NaN,0,NaN
10.08.2020 00:00:00,4200650,0,NaN,0,NaN
11.08.2020 00:00:00,4236951,0,NaN,0,NaN
12.08.2020 00:00:00,4273537,0,NaN,0,NaN
13.08.2020 00:00:00,4305796,0,NaN,0,NaN
14.08.2020 00:00:00,4341014,0,NaN,0,NaN
15.08.2020 00:00:00,4371208,0,NaN,0,NaN
16.08.2020 00:00:00,4399254,0,NaN,0,NaN
17.08.2020 00:00:00,4432690,0,NaN,0,NaN
18.08.2020 00:00:00,4456586,0,NaN,0,NaN
19.08.2020 00:00:00,4478761,0,NaN,0,NaN
20.08.2020 00:00:00,4503268,0,NaN,0,NaN
21.08.2020 00:00:00,4527736,0,NaN,0,NaN
22.08.2020 00:00:00,4550597,0,NaN,0,NaN
23.08.2020 00:00:00,4583476,0,NaN,0,NaN
24.08.2020 00:00:00,4610273,0,NaN,0,NaN
25.08.2020 00:00:00,4631351,0,NaN,0,NaN
26.08.2020 00:00:00,4668656,0,NaN,0,NaN
27.08.2020 00:00:00,4691584,0,NaN,0,NaN
28.08.2020 00:00:00,4714926,0,NaN,0,NaN
29.08.2020 00:00:00,4744411,0,NaN,0,NaN
30.08.2020 00:00:00,4753994,0,NaN,0,NaN
31.08.2020 00:00:00,4759818,0,NaN,0,NaN
01.09.2020 00:00:00,4772492,0,NaN,0,NaN
02.09.2020 00:00:00,4794731,0,NaN,0,NaN
03.09.2020 00:00:00,4814180,0,NaN,0,NaN
04.09.2020 00:00:00,4828005,0,NaN,0,NaN
05.09.2020 00:00:00,4843760,0,NaN,0,NaN
06.09.2020 00:00:00,4858827,0,NaN,0,NaN
07.09.2020 00:00:00,NaN,0,NaN,0,NaN
08.09.2020 00:00:00,4897458,0,NaN,0,NaN
09.09.2020 00:00:00,4921866,0,NaN,0,NaN
10.09.2020 00:00:00,4947267,0,NaN,0,NaN
11.09.2020 00:00:00,4979340,0,NaN,0,NaN
12.09.2020 00:00:00,5010926,0,NaN,0,NaN
13.09.2020 00:00:00,5016379,0,NaN,0,NaN
14.09.2020 00:00:00,5028611,0,NaN,0,NaN
15.09.2020 00:00:00,5052895,0,NaN,0,NaN
16.09.2020 00:00:00,5081193,0,NaN,0,NaN
17.09.2020 00:00:00,5095178,0,NaN,0,NaN
18.09.2020 00:00:00,5126262,0,NaN,0,NaN
19.09.2020 00:00:00,5156790,0,NaN,0,NaN
20.09.2020 00:00:00,5186155,0,NaN,0,NaN
21.09.2020 00:00:00,5207940,0,NaN,0,NaN
22.09.2020 00:00:00,5240607,0,NaN,0,NaN
23.09.2020 00:00:00,5273035,0,NaN,0,NaN
24.09.2020 00:00:00,5303283,0,NaN,0,NaN
25.09.2020 00:00:00,5335801,0,NaN,0,NaN
26.09.2020 00:00:00,5366866,0,NaN,0,NaN
27.09.2020 00:00:00,5397090,0,NaN,0,NaN
28.09.2020 00:00:00,5410070,0,NaN,0,NaN
29.09.2020 00:00:00,5425420,0,NaN,0,NaN
30.09.2020 00:00:00,5437602,0,NaN,0,NaN
01.10.2020 00:00:00,5457057,0,NaN,0,NaN
02.10.2020 00:00:00,5464172,0,NaN,0,NaN
03.10.2020 00:00:00,5465517,0,NaN,0,NaN
04.10.2020 00:00:00,5489089,0,NaN,0,NaN
05.10.2020 00:00:00,5499723,0,NaN,0,NaN
06.10.2020 00:00:00,5503211,0,NaN,0,NaN
07.10.2020 00:00:00,5510400,0,NaN,0,NaN
08.10.2020 00:00:00,5512550,0,NaN,0,NaN
09.10.2020 00:00:00,5529583,0,NaN,0,NaN
10.10.2020 00:00:00,5537858,0,NaN,0,NaN
11.10.2020 00:00:00,5555573,0,NaN,0,NaN
12.10.2020 00:00:00,5568801,0,NaN,0,NaN
13.10.2020 00:00:00,5572265,0,NaN,0,NaN
14.10.2020 00:00:00,5588754,0,NaN,0,NaN
15.10.2020 00:00:00,5599315,0,NaN,0,NaN
16.10.2020 00:00:00,5615938,0,NaN,0,NaN
17.10.2020 00:00:00,5632734,0,NaN,0,NaN
18.10.2020 00:00:00,5645484,0,NaN,0,NaN
19.10.2020 00:00:00,5654443,0,NaN,0,NaN
20.10.2020 00:00:00,5666858,0,NaN,0,NaN
21.10.2020 00:00:00,5689131,0,NaN,0,NaN
22.10.2020 00:00:00,5697577,0,NaN,0,NaN
23.10.2020 00:00:00,5700982,0,NaN,0,NaN
