From (date);From (time);Until (date);Until (time);EAN code;Meter;Meter type;Register;Volume;Unit;Validation status;Description
22/10/2023;12:30:00;22/10/2023;12:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,278;kWh;Read;
22/10/2023;12:30:00;22/10/2023;12:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,044;kWh;Read;
22/10/2023;12:45:00;22/10/2023;13:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,422;kWh;Read;
22/10/2023;12:45:00;22/10/2023;13:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,003;kWh;Read;
22/10/2023;13:00:00;22/10/2023;13:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,171;kWh;Read;
22/10/2023;13:00:00;22/10/2023;13:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,092;kWh;Read;
22/10/2023;13:15:00;22/10/2023;13:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,119;kWh;Read;
22/10/2023;13:15:00;22/10/2023;13:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,186;kWh;Read;
22/10/2023;13:30:00;22/10/2023;13:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,277;kWh;Read;
22/10/2023;13:30:00;22/10/2023;13:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,064;kWh;Read;
22/10/2023;13:45:00;22/10/2023;14:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,106;kWh;Read;
22/10/2023;13:45:00;22/10/2023;14:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,197;kWh;Read;
22/10/2023;14:00:00;22/10/2023;14:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,000;kWh;Read;
22/10/2023;14:00:00;22/10/2023;14:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,596;kWh;Read;
22/10/2023;14:15:00;22/10/2023;14:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,000;kWh;Read;
22/10/2023;14:15:00;22/10/2023;14:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,396;kWh;Read;
22/10/2023;14:30:00;22/10/2023;14:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,022;kWh;Read;
22/10/2023;14:30:00;22/10/2023;14:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,364;kWh;Read;
22/10/2023;14:45:00;22/10/2023;15:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,009;kWh;Read;
22/10/2023;14:45:00;22/10/2023;15:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,061;kWh;Read;
22/10/2023;15:00:00;22/10/2023;15:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,000;kWh;Read;
22/10/2023;15:00:00;22/10/2023;15:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,460;kWh;Read;
22/10/2023;15:15:00;22/10/2023;15:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,000;kWh;Read;
22/10/2023;15:15:00;22/10/2023;15:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,648;kWh;Read;
