
name;ean;code;moment;moment-date;value;factor;type
Binnenhof18;871717720000051862;ellm;1751693400;2025-07-05 07:30:00;38879243;0.001;0
Binnenhof18;871717720000051862;ellm;1751694300;2025-07-05 07:45:00;38879247;0.001;0
Binnenhof18;871717720000051862;ellm;1751695200;2025-07-05 08:00:00;38879250;0.001;0
Binnenhof18;871717720000051862;ellm;1751696100;2025-07-05 08:15:00;38879251;0.001;0
Binnenhof18;871717720000051862;ellm;1751697000;2025-07-05 08:30:00;38879252;0.001;0
Binnenhof18;871717720000051862;ellm;1751697900;2025-07-05 08:45:00;38879252;0.001;0
Binnenhof18;871717720000051862;ellm;1751698800;2025-07-05 09:00:00;38879252;0.001;0
Binnenhof18;871717720000051862;ellm;1751699700;2025-07-05 09:15:00;38879253;0.001;0
Binnenhof18;871717720000051862;ellm;1751700600;2025-07-05 09:30:00;38879253;0.001;0
Binnenhof18;871717720000051862;ellm;1751701500;2025-07-05 09:45:00;38879253;0.001;0
Binnenhof18;871717720000051862;ellm;1751702400;2025-07-05 10:00:00;38879253;0.001;0
Binnenhof18;871717720000051862;ellm;1751703300;2025-07-05 10:15:00;38879253;0.001;0
Binnenhof18;871717720000051862;ellm;1751704200;2025-07-05 10:30:00;38879254;0.001;0
Binnenhof18;871717720000051862;ellm;1751705100;2025-07-05 10:45:00;38879254;0.001;0
Binnenhof18;871717720000051862;ellm;1751706000;2025-07-05 11:00:00;38879424;0.001;0
Binnenhof18;871717720000051862;ellm;1751706900;2025-07-05 11:15:00;38881321;0.001;0
Binnenhof18;871717720000051862;ellm;1751707800;2025-07-05 11:30:00;38883237;0.001;0
Binnenhof18;871717720000051862;ellm;1751708700;2025-07-05 11:45:00;38885023;0.001;0
Binnenhof18;871717720000051862;ellm;1751709600;2025-07-05 12:00:00;38886122;0.001;0
Binnenhof18;871717720000051862;ellm;1751710500;2025-07-05 12:15:00;38886286;0.001;0
Binnenhof18;871717720000051862;ellm;1751711400;2025-07-05 12:30:00;38886286;0.001;0
Binnenhof18;871717720000051862;ellm;1751712300;2025-07-05 12:45:00;38886286;0.001;0
Binnenhof18;871717720000051862;ellm;1751713200;2025-07-05 13:00:00;38886318;0.001;0
Binnenhof18;871717720000051862;ellm;1751714100;2025-07-05 13:15:00;38887971;0.001;0
Binnenhof18;871717720000051862;ellm;1751715000;2025-07-05 13:30:00;38889551;0.001;0
Binnenhof18;871717720000051862;ellm;1751715900;2025-07-05 13:45:00;38890944;0.001;0
Binnenhof18;871717720000051862;ellm;1751716800;2025-07-05 14:00:00;38892362;0.001;0
Binnenhof18;871717720000051862;ellm;1751717700;2025-07-05 14:15:00;38893644;0.001;0
Binnenhof18;871717720000051862;ellm;1751718600;2025-07-05 14:30:00;38895155;0.001;0
Binnenhof18;871717720000051862;ellm;1751719500;2025-07-05 14:45:00;38897420;0.001;0
Binnenhof18;871717720000051862;ellm;1751720400;2025-07-05 15:00:00;38899390;0.001;0
Binnenhof18;871717720000051862;ellm;1751721300;2025-07-05 15:15:00;38901451;0.001;0
